wallet_address,is_locked,last_event_ts,nft_id,edition_id,play_id,series_id,set_id,tier,serial_number,max_mint_size,first_name,last_name,team_name,position,jersey_number,series_name,set_name
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445407,4975,4579,9,93,COMMON,2141,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445368,4975,4579,9,93,COMMON,2102,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445523,4976,4580,9,93,COMMON,2257,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445566,4976,4580,9,93,COMMON,2300,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445529,4976,4580,9,93,COMMON,2263,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445484,4976,4580,9,93,COMMON,2218,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445359,4975,4579,9,93,COMMON,2093,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445526,4976,4580,9,93,COMMON,2260,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445305,4975,4579,9,93,COMMON,2039,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445336,4975,4579,9,93,COMMON,2070,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445287,4975,4579,9,93,COMMON,2021,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445360,4975,4579,9,93,COMMON,2094,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445367,4975,4579,9,93,COMMON,2101,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445426,4975,4579,9,93,COMMON,2160,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445482,4976,4580,9,93,COMMON,2216,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445332,4975,4579,9,93,COMMON,2066,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445500,4976,4580,9,93,COMMON,2234,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445551,4976,4580,9,93,COMMON,2285,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445539,4976,4580,9,93,COMMON,2273,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445411,4975,4579,9,93,COMMON,2145,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445480,4976,4580,9,93,COMMON,2214,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445393,4975,4579,9,93,COMMON,2127,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445339,4975,4579,9,93,COMMON,2073,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445271,4975,4579,9,93,COMMON,2005,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445315,4975,4579,9,93,COMMON,2049,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445409,4975,4579,9,93,COMMON,2143,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445476,4976,4580,9,93,COMMON,2210,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445383,4975,4579,9,93,COMMON,2117,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445561,4976,4580,9,93,COMMON,2295,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445316,4975,4579,9,93,COMMON,2050,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445405,4975,4579,9,93,COMMON,2139,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445419,4975,4579,9,93,COMMON,2153,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445274,4975,4579,9,93,COMMON,2008,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445312,4975,4579,9,93,COMMON,2046,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445533,4976,4580,9,93,COMMON,2267,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445425,4975,4579,9,93,COMMON,2159,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445520,4976,4580,9,93,COMMON,2254,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445347,4975,4579,9,93,COMMON,2081,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445308,4975,4579,9,93,COMMON,2042,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445502,4976,4580,9,93,COMMON,2236,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445377,4975,4579,9,93,COMMON,2111,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445440,4975,4579,9,93,COMMON,2174,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445501,4976,4580,9,93,COMMON,2235,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445442,4975,4579,9,93,COMMON,2176,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445457,4975,4579,9,93,COMMON,2191,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445412,4975,4579,9,93,COMMON,2146,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445328,4975,4579,9,93,COMMON,2062,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445371,4975,4579,9,93,COMMON,2105,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445454,4975,4579,9,93,COMMON,2188,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445422,4975,4579,9,93,COMMON,2156,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445556,4976,4580,9,93,COMMON,2290,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445430,4975,4579,9,93,COMMON,2164,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445357,4975,4579,9,93,COMMON,2091,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445343,4975,4579,9,93,COMMON,2077,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445497,4976,4580,9,93,COMMON,2231,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445392,4975,4579,9,93,COMMON,2126,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445483,4976,4580,9,93,COMMON,2217,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445362,4975,4579,9,93,COMMON,2096,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445415,4975,4579,9,93,COMMON,2149,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445330,4975,4579,9,93,COMMON,2064,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445487,4976,4580,9,93,COMMON,2221,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445314,4975,4579,9,93,COMMON,2048,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445324,4975,4579,9,93,COMMON,2058,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445492,4976,4580,9,93,COMMON,2226,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445549,4976,4580,9,93,COMMON,2283,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445275,4975,4579,9,93,COMMON,2009,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445318,4975,4579,9,93,COMMON,2052,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445395,4975,4579,9,93,COMMON,2129,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445543,4976,4580,9,93,COMMON,2277,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445291,4975,4579,9,93,COMMON,2025,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445527,4976,4580,9,93,COMMON,2261,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445565,4976,4580,9,93,COMMON,2299,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445381,4975,4579,9,93,COMMON,2115,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445321,4975,4579,9,93,COMMON,2055,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445398,4975,4579,9,93,COMMON,2132,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445437,4975,4579,9,93,COMMON,2171,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445317,4975,4579,9,93,COMMON,2051,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445410,4975,4579,9,93,COMMON,2144,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445292,4975,4579,9,93,COMMON,2026,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445558,4976,4580,9,93,COMMON,2292,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445333,4975,4579,9,93,COMMON,2067,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445433,4975,4579,9,93,COMMON,2167,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445564,4976,4580,9,93,COMMON,2298,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445519,4976,4580,9,93,COMMON,2253,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445281,4975,4579,9,93,COMMON,2015,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445363,4975,4579,9,93,COMMON,2097,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445297,4975,4579,9,93,COMMON,2031,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445310,4975,4579,9,93,COMMON,2044,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445385,4975,4579,9,93,COMMON,2119,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445285,4975,4579,9,93,COMMON,2019,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445462,4975,4579,9,93,COMMON,2196,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445354,4975,4579,9,93,COMMON,2088,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445375,4975,4579,9,93,COMMON,2109,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445455,4975,4579,9,93,COMMON,2189,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445369,4975,4579,9,93,COMMON,2103,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445468,4976,4580,9,93,COMMON,2202,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445341,4975,4579,9,93,COMMON,2075,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445506,4976,4580,9,93,COMMON,2240,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445544,4976,4580,9,93,COMMON,2278,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445521,4976,4580,9,93,COMMON,2255,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445293,4975,4579,9,93,COMMON,2027,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445364,4975,4579,9,93,COMMON,2098,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445273,4975,4579,9,93,COMMON,2007,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445431,4975,4579,9,93,COMMON,2165,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445465,4975,4579,9,93,COMMON,2199,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445353,4975,4579,9,93,COMMON,2087,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445403,4975,4579,9,93,COMMON,2137,2500,Kyle,Monangai,Chicago Bears,RB,25,2025 Season,Rookie Debut
0xe4cf4bdc1751c65d,false,2025-11-11T22:53:12.878Z,10445555,4976,4580,9,93,COMMON,2289,2500,Oronde,Gadsden,Los Angeles Chargers,TE,86,2025 Season,Rookie Debut
